user_id,signup_date,trial_end_date,company_size,plan_interested,converted,conversion_date
U00040,2026-01-13,2026-01-27,1-10,pro,False,
U00041,2026-06-10,2026-06-24,11-50,business,True,2026-06-21
U00042,2026-06-02,2026-06-16,1-10,starter,False,
U00043,2026-04-08,2026-04-22,not_provided,starter,False,
U00044,2026-05-16,2026-05-30,51-200,pro,False,
U00045,2026-01-03,2026-01-17,not_provided,business,False,
U00046,2026-01-30,2026-02-13,not_provided,pro,False,
U00047,2026-03-10,2026-03-24,not_provided,business,False,
U00048,2026-01-29,2026-02-12,51-200,starter,False,
U00049,2026-02-10,2026-02-24,200+,starter,False,
U00050,2026-03-09,2026-03-23,not_provided,pro,False,
U00051,2026-05-10,2026-05-24,1-10,business,True,2026-05-19
U00052,2026-06-13,2026-06-27,not_provided,pro,False,
U00053,2026-02-20,2026-03-06,11-50,business,True,2026-02-27
U00054,2026-05-19,2026-06-02,not_provided,starter,False,
U00055,2026-06-03,2026-06-17,51-200,starter,False,
U00056,2026-01-05,2026-01-19,1-10,business,False,
U00057,2026-03-20,2026-04-03,11-50,starter,True,2026-03-28
U00058,2026-05-26,2026-06-09,1-10,starter,True,2026-06-07
U00059,2026-01-18,2026-02-01,not_provided,pro,True,2026-01-25
U00060,2026-05-02,2026-05-16,not_provided,pro,False,
U00061,2026-03-09,2026-03-23,not_provided,pro,True,2026-03-20
U00062,2026-02-24,2026-03-10,not_provided,business,False,
U00063,2026-02-21,2026-03-07,not_provided,business,False,
U00064,2026-04-13,2026-04-27,not_provided,business,False,
U00065,2026-04-06,2026-04-20,200+,pro,False,
U00066,2026-04-26,2026-05-10,1-10,pro,False,
U00067,2026-02-27,2026-03-13,1-10,business,False,
U00068,2026-01-06,2026-01-20,not_provided,pro,True,2026-01-14
U00069,2026-05-31,2026-06-14,11-50,starter,False,
U00070,2026-01-19,2026-02-02,not_provided,business,True,2026-01-24
U00071,2026-02-28,2026-03-14,1-10,starter,True,2026-03-10
U00072,2026-01-19,2026-02-02,not_provided,pro,False,
U00073,2026-03-13,2026-03-27,not_provided,starter,False,
U00074,2026-02-24,2026-03-10,not_provided,pro,True,2026-03-10
U00075,2026-05-28,2026-06-11,200+,pro,False,
U00076,2026-05-02,2026-05-16,200+,pro,False,
U00077,2026-01-25,2026-02-08,1-10,business,True,2026-02-05
U00078,2026-04-01,2026-04-15,200+,starter,True,2026-04-13
U00079,2026-01-14,2026-01-28,not_provided,business,False,
U00080,2026-06-15,2026-06-29,1-10,starter,False,
U00081,2026-04-14,2026-04-28,not_provided,business,False,
U00082,2026-01-28,2026-02-11,11-50,pro,True,2026-02-05
U00083,2026-05-18,2026-06-01,200+,pro,False,
U00084,2026-04-19,2026-05-03,11-50,business,True,2026-05-01
U00085,2026-03-05,2026-03-19,1-10,starter,False,
U00086,2026-05-21,2026-06-04,1-10,starter,False,
U00087,2026-06-16,2026-06-30,not_provided,starter,True,2026-06-22
U00088,2026-03-02,2026-03-16,11-50,starter,True,2026-03-14
U00089,2026-05-04,2026-05-18,11-50,starter,True,2026-05-09
U00090,2026-02-12,2026-02-26,200+,starter,False,
U00091,2026-04-10,2026-04-24,51-200,starter,False,
U00092,2026-03-15,2026-03-29,200+,business,False,
U00093,2026-05-23,2026-06-06,not_provided,business,False,
U00094,2026-05-05,2026-05-19,11-50,pro,False,
U00095,2026-03-17,2026-03-31,11-50,starter,False,
U00096,2026-05-29,2026-06-12,not_provided,pro,False,
U00097,2026-01-16,2026-01-30,not_provided,business,True,2026-01-21
U00098,2026-01-13,2026-01-27,not_provided,starter,False,
U00099,2026-05-09,2026-05-23,not_provided,pro,True,2026-05-14
U00100,2026-05-11,2026-05-25,1-10,pro,True,2026-05-17
U00101,2026-06-02,2026-06-16,1-10,business,False,
U00102,2026-03-02,2026-03-16,200+,starter,False,
U00103,2026-05-26,2026-06-09,11-50,pro,False,
U00104,2026-06-02,2026-06-16,1-10,pro,True,2026-06-08
U00105,2026-04-18,2026-05-02,not_provided,pro,False,
U00106,2026-05-25,2026-06-08,not_provided,business,True,2026-06-03
U00107,2026-02-22,2026-03-08,not_provided,business,True,2026-03-04
U00108,2026-03-03,2026-03-17,51-200,starter,False,
U00109,2026-02-03,2026-02-17,not_provided,business,True,2026-02-12
U00110,2026-04-28,2026-05-12,51-200,starter,True,2026-05-03
U00111,2026-04-28,2026-05-12,not_provided,pro,True,2026-05-04
U00112,2026-01-19,2026-02-02,not_provided,pro,False,
U00113,2026-05-10,2026-05-24,51-200,pro,True,2026-05-20
U00114,2026-01-18,2026-02-01,11-50,business,True,2026-01-27
U00115,2026-02-10,2026-02-24,200+,pro,True,2026-02-19
U00116,2026-06-06,2026-06-20,not_provided,pro,True,2026-06-11
U00117,2026-05-22,2026-06-05,51-200,business,True,2026-05-28
U00118,2026-02-04,2026-02-18,51-200,starter,True,2026-02-10
U00119,2026-05-22,2026-06-05,11-50,business,True,2026-05-31
U00120,2026-06-04,2026-06-18,11-50,business,False,
U00121,2026-03-29,2026-04-12,11-50,business,False,
U00122,2026-06-12,2026-06-26,51-200,pro,False,
U00123,2026-05-06,2026-05-20,51-200,starter,False,
U00124,2026-01-24,2026-02-07,not_provided,starter,False,
U00125,2026-03-12,2026-03-26,1-10,starter,False,
U00126,2026-03-27,2026-04-10,11-50,business,False,
U00127,2026-03-09,2026-03-23,11-50,business,False,
U00128,2026-04-24,2026-05-08,not_provided,business,True,2026-05-05
U00129,2026-05-24,2026-06-07,1-10,starter,False,
U00130,2026-01-20,2026-02-03,not_provided,pro,False,
U00131,2026-05-20,2026-06-03,1-10,business,False,
U00132,2026-05-30,2026-06-13,not_provided,pro,False,
U00133,2026-04-21,2026-05-05,11-50,starter,False,
U00134,2026-03-20,2026-04-03,51-200,starter,False,
U00135,2026-04-02,2026-04-16,11-50,business,False,
U00136,2026-03-05,2026-03-19,not_provided,starter,True,2026-03-15
U00137,2026-05-24,2026-06-07,200+,pro,False,
U00138,2026-02-09,2026-02-23,11-50,pro,True,2026-02-16
U00139,2026-04-16,2026-04-30,1-10,pro,False,
U00140,2026-03-27,2026-04-10,200+,business,False,
U00141,2026-03-05,2026-03-19,51-200,pro,False,
U00142,2026-01-28,2026-02-11,200+,starter,False,
U00143,2026-05-01,2026-05-15,11-50,pro,True,2026-05-13
U00144,2026-03-31,2026-04-14,51-200,pro,False,
U00145,2026-02-27,2026-03-13,1-10,business,False,
U00146,2026-02-19,2026-03-05,200+,business,True,2026-02-28
U00147,2026-01-18,2026-02-01,51-200,business,False,
U00148,2026-06-14,2026-06-28,not_provided,starter,False,
U00149,2026-05-18,2026-06-01,51-200,starter,False,
U00150,2026-01-30,2026-02-13,51-200,pro,True,2026-02-13
U00151,2026-03-09,2026-03-23,1-10,starter,False,
U00152,2026-06-02,2026-06-16,200+,business,True,2026-06-12
U00153,2026-04-22,2026-05-06,not_provided,pro,False,
U00154,2026-01-30,2026-02-13,200+,pro,False,
U00155,2026-02-18,2026-03-04,51-200,starter,False,
U00156,2026-04-22,2026-05-06,1-10,pro,True,2026-05-05
U00157,2026-02-20,2026-03-06,51-200,starter,True,2026-02-26
U00158,2026-03-26,2026-04-09,not_provided,business,True,2026-04-01
U00159,2026-03-18,2026-04-01,not_provided,business,False,
U00160,2026-04-15,2026-04-29,51-200,starter,False,
U00161,2026-03-17,2026-03-31,not_provided,pro,False,
U00162,2026-02-19,2026-03-05,200+,business,True,2026-03-02
U00163,2026-02-14,2026-02-28,not_provided,pro,False,
U00164,2026-03-19,2026-04-02,200+,pro,True,2026-03-24
U00165,2026-03-19,2026-04-02,51-200,pro,True,2026-03-30
U00166,2026-05-29,2026-06-12,not_provided,business,False,
U00167,2026-03-24,2026-04-07,200+,starter,False,
U00168,2026-04-24,2026-05-08,not_provided,pro,False,
U00169,2026-05-11,2026-05-25,200+,business,True,2026-05-18
U00170,2026-01-22,2026-02-05,51-200,pro,True,2026-02-05
U00171,2026-03-27,2026-04-10,1-10,pro,True,2026-04-05
U00172,2026-02-27,2026-03-13,11-50,pro,False,
U00173,2026-01-07,2026-01-21,1-10,pro,True,2026-01-19
U00174,2026-06-06,2026-06-20,1-10,starter,True,2026-06-17
U00175,2026-06-11,2026-06-25,not_provided,pro,False,
U00176,2026-04-09,2026-04-23,200+,starter,True,2026-04-17
U00177,2026-02-07,2026-02-21,not_provided,business,True,2026-02-12
U00178,2026-01-28,2026-02-11,200+,pro,False,
U00179,2026-02-15,2026-03-01,not_provided,pro,False,
U00180,2026-04-29,2026-05-13,1-10,pro,True,2026-05-07
U00181,2026-02-01,2026-02-15,200+,pro,False,
U00182,2026-04-29,2026-05-13,not_provided,pro,False,
U00183,2026-05-24,2026-06-07,not_provided,business,True,2026-06-05
U00184,2026-06-06,2026-06-20,not_provided,pro,False,
U00185,2026-04-20,2026-05-04,not_provided,starter,True,2026-04-27
U00186,2026-05-02,2026-05-16,200+,business,False,
U00187,2026-03-05,2026-03-19,not_provided,business,False,
U00188,2026-05-14,2026-05-28,200+,business,False,
U00189,2026-03-03,2026-03-17,51-200,starter,True,2026-03-09
U00190,2026-03-15,2026-03-29,11-50,business,True,2026-03-25
U00191,2026-03-23,2026-04-06,not_provided,starter,True,2026-03-30
U00192,2026-02-08,2026-02-22,11-50,starter,False,
U00193,2026-02-09,2026-02-23,not_provided,pro,False,
U00194,2026-01-17,2026-01-31,200+,starter,False,
U00195,2026-03-26,2026-04-09,not_provided,starter,True,2026-04-06
U00196,2026-01-16,2026-01-30,11-50,starter,False,
U00197,2026-04-10,2026-04-24,not_provided,business,False,
U00198,2026-01-06,2026-01-20,not_provided,starter,True,2026-01-18
U00199,2026-01-02,2026-01-16,51-200,business,True,2026-01-13
U00200,2026-04-18,2026-05-02,not_provided,business,False,
U00201,2026-05-20,2026-06-03,not_provided,pro,False,
U00202,2026-05-05,2026-05-19,11-50,business,False,
U00203,2026-04-22,2026-05-06,200+,starter,False,
U00204,2026-04-10,2026-04-24,51-200,business,False,
U00205,2026-04-14,2026-04-28,not_provided,pro,False,
U00206,2026-04-30,2026-05-14,11-50,pro,True,2026-05-13
U00207,2026-01-07,2026-01-21,200+,pro,True,2026-01-21
U00208,2026-01-07,2026-01-21,1-10,business,False,
U00209,2026-04-20,2026-05-04,11-50,starter,False,
U00210,2026-02-16,2026-03-02,1-10,business,True,2026-02-27
U00211,2026-03-25,2026-04-08,11-50,starter,False,
U00212,2026-03-25,2026-04-08,51-200,starter,True,2026-04-03
U00213,2026-04-18,2026-05-02,51-200,starter,False,
U00214,2026-05-01,2026-05-15,1-10,business,False,
U00215,2026-05-19,2026-06-02,1-10,business,True,2026-05-27
U00216,2026-06-16,2026-06-30,1-10,business,False,
U00217,2026-01-11,2026-01-25,1-10,pro,False,
U00218,2026-02-21,2026-03-07,1-10,pro,False,
U00219,2026-02-09,2026-02-23,11-50,pro,False,
U00220,2026-05-02,2026-05-16,not_provided,starter,False,
U00221,2026-05-25,2026-06-08,11-50,starter,True,2026-06-03
U00222,2026-04-05,2026-04-19,11-50,pro,False,
U00223,2026-06-05,2026-06-19,not_provided,business,True,2026-06-11
U00224,2026-02-11,2026-02-25,51-200,starter,False,
U00225,2026-05-29,2026-06-12,1-10,business,False,
U00226,2026-05-28,2026-06-11,not_provided,starter,False,
U00227,2026-04-12,2026-04-26,not_provided,pro,False,
U00228,2026-01-20,2026-02-03,not_provided,business,True,2026-01-28
U00229,2026-01-27,2026-02-10,not_provided,business,False,
U00230,2026-06-03,2026-06-17,1-10,pro,False,
U00231,2026-01-11,2026-01-25,51-200,pro,False,
U00232,2026-04-20,2026-05-04,not_provided,business,False,
U00233,2026-01-18,2026-02-01,not_provided,business,False,
U00234,2026-03-29,2026-04-12,1-10,starter,True,2026-04-10
U00235,2026-01-28,2026-02-11,200+,business,True,2026-02-09
U00236,2026-02-09,2026-02-23,200+,pro,False,
U00237,2026-05-14,2026-05-28,not_provided,business,True,2026-05-28
U00238,2026-05-18,2026-06-01,200+,starter,True,2026-05-29
U00239,2026-06-01,2026-06-15,51-200,business,False,
U00240,2026-03-04,2026-03-18,1-10,business,False,
U00241,2026-04-26,2026-05-10,11-50,starter,True,2026-05-10
U00242,2026-06-06,2026-06-20,not_provided,starter,True,2026-06-16
U00243,2026-01-08,2026-01-22,200+,business,False,
U00244,2026-02-16,2026-03-02,200+,pro,False,
U00245,2026-04-01,2026-04-15,51-200,business,False,
U00246,2026-03-13,2026-03-27,not_provided,business,True,2026-03-22
U00247,2026-05-23,2026-06-06,1-10,pro,True,2026-05-31
U00248,2026-01-22,2026-02-05,11-50,business,False,
U00249,2026-04-15,2026-04-29,200+,pro,True,2026-04-23
U00250,2026-05-02,2026-05-16,not_provided,business,True,2026-05-14
U00251,2026-04-25,2026-05-09,1-10,starter,False,
U00252,2026-03-17,2026-03-31,11-50,starter,False,
U00253,2026-03-04,2026-03-18,51-200,business,True,2026-03-18
U00254,2026-04-05,2026-04-19,200+,pro,False,
U00255,2026-05-16,2026-05-30,51-200,starter,True,2026-05-29
U00256,2026-03-26,2026-04-09,51-200,business,False,
U00257,2026-04-27,2026-05-11,51-200,business,False,
U00258,2026-03-06,2026-03-20,11-50,starter,False,
U00259,2026-02-19,2026-03-05,51-200,starter,False,
U00260,2026-05-18,2026-06-01,not_provided,pro,True,2026-05-26
U00261,2026-02-25,2026-03-11,not_provided,starter,False,
U00262,2026-03-12,2026-03-26,not_provided,pro,True,2026-03-25
U00263,2026-06-02,2026-06-16,51-200,starter,False,
U00264,2026-02-19,2026-03-05,51-200,pro,False,
U00265,2026-04-03,2026-04-17,11-50,business,False,
U00266,2026-01-04,2026-01-18,not_provided,pro,True,2026-01-11
U00267,2026-03-12,2026-03-26,1-10,starter,False,
U00268,2026-05-22,2026-06-05,51-200,business,True,2026-05-29
U00269,2026-06-13,2026-06-27,200+,starter,True,2026-06-18
U00270,2026-05-27,2026-06-10,51-200,starter,False,
U00271,2026-05-03,2026-05-17,200+,business,True,2026-05-10
U00272,2026-01-14,2026-01-28,51-200,starter,False,
U00273,2026-01-30,2026-02-13,1-10,starter,True,2026-02-11
U00274,2026-01-19,2026-02-02,not_provided,business,False,
U00275,2026-01-14,2026-01-28,11-50,pro,True,2026-01-28
U00276,2026-03-19,2026-04-02,1-10,pro,False,
U00277,2026-01-31,2026-02-14,not_provided,starter,False,
U00278,2026-06-05,2026-06-19,not_provided,pro,False,
U00279,2026-02-27,2026-03-13,not_provided,starter,True,2026-03-11
U00280,2026-04-24,2026-05-08,51-200,pro,True,2026-05-05
U00281,2026-03-20,2026-04-03,not_provided,pro,True,2026-03-25
U00282,2026-06-06,2026-06-20,not_provided,starter,False,
U00283,2026-02-23,2026-03-09,not_provided,pro,True,2026-03-04
U00284,2026-01-21,2026-02-04,11-50,pro,False,
U00285,2026-02-14,2026-02-28,not_provided,starter,True,2026-02-21
U00286,2026-01-01,2026-01-15,200+,starter,False,
U00287,2026-06-02,2026-06-16,200+,business,False,
U00288,2026-01-09,2026-01-23,11-50,business,False,
U00289,2026-03-14,2026-03-28,not_provided,starter,True,2026-03-20
U00290,2026-03-01,2026-03-15,51-200,business,False,
U00291,2026-05-31,2026-06-14,not_provided,pro,False,
U00292,2026-04-19,2026-05-03,1-10,pro,True,2026-04-27
U00293,2026-06-15,2026-06-29,11-50,business,False,
U00294,2026-02-06,2026-02-20,1-10,starter,False,
U00295,2026-02-12,2026-02-26,51-200,pro,False,
U00296,2026-05-26,2026-06-09,51-200,starter,True,2026-06-01
U00297,2026-04-30,2026-05-14,not_provided,business,False,
U00298,2026-04-14,2026-04-28,51-200,pro,False,
U00299,2026-05-19,2026-06-02,200+,starter,False,
U00300,2026-01-21,2026-02-04,not_provided,starter,True,2026-02-01
U00301,2026-03-24,2026-04-07,not_provided,business,False,
U00302,2026-01-07,2026-01-21,1-10,pro,True,2026-01-21
U00303,2026-05-31,2026-06-14,1-10,business,True,2026-06-09
U00304,2026-05-28,2026-06-11,1-10,pro,True,2026-06-09
U00305,2026-05-13,2026-05-27,not_provided,starter,True,2026-05-22
U00306,2026-02-16,2026-03-02,not_provided,starter,False,
U00307,2026-06-12,2026-06-26,200+,starter,True,2026-06-24
U00308,2026-03-31,2026-04-14,200+,business,False,
U00309,2026-03-24,2026-04-07,not_provided,starter,True,2026-03-31
U00310,2026-03-26,2026-04-09,200+,business,True,2026-04-07
U00311,2026-03-15,2026-03-29,not_provided,starter,True,2026-03-28
U00312,2026-01-10,2026-01-24,200+,starter,True,2026-01-20
U00313,2026-03-06,2026-03-20,51-200,starter,False,
U00314,2026-04-14,2026-04-28,not_provided,starter,False,
U00315,2026-05-19,2026-06-02,200+,starter,False,
U00316,2026-01-14,2026-01-28,11-50,pro,True,2026-01-24
U00317,2026-06-09,2026-06-23,200+,business,True,2026-06-21
U00318,2026-01-14,2026-01-28,11-50,business,True,2026-01-27
U00319,2026-02-03,2026-02-17,51-200,starter,True,2026-02-15
U00320,2026-02-01,2026-02-15,1-10,business,True,2026-02-15
U00321,2026-03-03,2026-03-17,not_provided,pro,False,
U00322,2026-03-21,2026-04-04,not_provided,starter,False,
U00323,2026-05-22,2026-06-05,200+,starter,False,
U00324,2026-02-27,2026-03-13,1-10,starter,True,2026-03-05
U00325,2026-06-15,2026-06-29,11-50,starter,False,
U00326,2026-03-16,2026-03-30,not_provided,business,False,
U00327,2026-03-11,2026-03-25,200+,starter,False,
U00328,2026-05-01,2026-05-15,11-50,starter,False,
U00329,2026-05-22,2026-06-05,11-50,starter,False,
U00330,2026-02-18,2026-03-04,not_provided,pro,True,2026-02-25
U00331,2026-01-18,2026-02-01,51-200,starter,False,
U00332,2026-03-29,2026-04-12,not_provided,business,False,
U00333,2026-01-01,2026-01-15,51-200,business,True,2026-01-10
U00334,2026-05-31,2026-06-14,not_provided,business,True,2026-06-12
U00335,2026-02-08,2026-02-22,200+,pro,False,
U00336,2026-05-04,2026-05-18,51-200,business,True,2026-05-17
U00337,2026-05-20,2026-06-03,200+,starter,False,
U00338,2026-03-24,2026-04-07,11-50,business,True,2026-04-01
U00339,2026-05-27,2026-06-10,200+,pro,True,2026-06-07
U00340,2026-01-12,2026-01-26,51-200,business,True,2026-01-24
U00341,2026-04-08,2026-04-22,200+,business,False,
U00342,2026-06-16,2026-06-30,11-50,starter,False,
U00343,2026-01-10,2026-01-24,11-50,pro,True,2026-01-24
U00344,2026-03-26,2026-04-09,1-10,starter,True,2026-04-01
U00345,2026-05-15,2026-05-29,200+,starter,True,2026-05-22
U00346,2026-04-15,2026-04-29,not_provided,pro,False,
U00347,2026-01-20,2026-02-03,200+,business,True,2026-01-30
U00348,2026-06-09,2026-06-23,not_provided,starter,True,2026-06-15
U00349,2026-03-26,2026-04-09,not_provided,pro,False,
U00350,2026-04-08,2026-04-22,51-200,business,False,
U00351,2026-05-05,2026-05-19,not_provided,starter,True,2026-05-19
U00352,2026-01-18,2026-02-01,11-50,business,False,
U00353,2026-03-15,2026-03-29,11-50,business,True,2026-03-21
U00354,2026-04-22,2026-05-06,1-10,business,False,
U00355,2026-01-26,2026-02-09,200+,pro,True,2026-02-04
U00356,2026-01-08,2026-01-22,1-10,business,False,
U00357,2026-01-15,2026-01-29,51-200,business,True,2026-01-25
U00358,2026-04-21,2026-05-05,11-50,pro,True,2026-05-04
U00359,2026-04-16,2026-04-30,not_provided,business,False,
U00360,2026-02-16,2026-03-02,11-50,pro,True,2026-02-22
U00361,2026-06-06,2026-06-20,200+,pro,True,2026-06-14
U00362,2026-05-08,2026-05-22,not_provided,pro,False,
U00363,2026-03-01,2026-03-15,200+,business,False,
U00364,2026-03-07,2026-03-21,200+,business,False,
U00365,2026-01-03,2026-01-17,200+,business,True,2026-01-16
U00366,2026-02-10,2026-02-24,1-10,starter,False,
U00367,2026-03-30,2026-04-13,not_provided,business,False,
U00368,2026-06-13,2026-06-27,200+,business,False,
U00369,2026-03-06,2026-03-20,200+,business,True,2026-03-14
U00370,2026-04-09,2026-04-23,200+,starter,False,
U00371,2026-03-02,2026-03-16,200+,pro,False,
U00372,2026-04-02,2026-04-16,not_provided,business,False,
U00373,2026-03-17,2026-03-31,1-10,business,False,
U00374,2026-04-12,2026-04-26,51-200,starter,True,2026-04-26
U00375,2026-01-13,2026-01-27,not_provided,business,True,2026-01-25
U00376,2026-03-15,2026-03-29,11-50,pro,False,
U00377,2026-04-01,2026-04-15,11-50,business,True,2026-04-09
U00378,2026-06-08,2026-06-22,51-200,business,False,
U00379,2026-02-05,2026-02-19,not_provided,starter,False,
U00380,2026-06-10,2026-06-24,not_provided,starter,False,
U00381,2026-03-21,2026-04-04,200+,starter,False,
U00382,2026-05-29,2026-06-12,51-200,business,True,2026-06-05
U00383,2026-01-24,2026-02-07,51-200,business,False,
U00384,2026-04-17,2026-05-01,11-50,pro,False,
U00385,2026-02-03,2026-02-17,not_provided,business,False,
U00386,2026-05-16,2026-05-30,not_provided,business,False,
U00387,2026-02-12,2026-02-26,51-200,starter,True,2026-02-21
U00388,2026-03-28,2026-04-11,1-10,starter,False,
U00389,2026-01-20,2026-02-03,11-50,pro,False,
U00390,2026-04-12,2026-04-26,not_provided,business,False,
U00391,2026-01-24,2026-02-07,200+,starter,False,
U00392,2026-03-09,2026-03-23,not_provided,starter,False,
U00393,2026-04-27,2026-05-11,51-200,business,True,2026-05-06
U00394,2026-05-30,2026-06-13,200+,business,True,2026-06-09
U00395,2026-01-28,2026-02-11,not_provided,pro,False,
U00396,2026-05-01,2026-05-15,1-10,pro,False,
U00397,2026-05-24,2026-06-07,51-200,pro,True,2026-06-01
U00398,2026-06-15,2026-06-29,1-10,business,False,
U00399,2026-04-29,2026-05-13,not_provided,business,False,
U00400,2026-06-16,2026-06-30,200+,starter,False,
U00401,2026-02-05,2026-02-19,1-10,starter,True,2026-02-14
U00402,2026-05-07,2026-05-21,1-10,starter,False,
U00403,2026-03-02,2026-03-16,not_provided,pro,False,
U00404,2026-04-10,2026-04-24,200+,business,False,
U00405,2026-05-19,2026-06-02,200+,pro,True,2026-05-26
U00406,2026-04-17,2026-05-01,not_provided,starter,True,2026-04-29
U00407,2026-06-07,2026-06-21,200+,business,False,
U00408,2026-01-09,2026-01-23,not_provided,business,True,2026-01-17
U00409,2026-04-24,2026-05-08,200+,pro,False,
U00410,2026-04-03,2026-04-17,1-10,business,True,2026-04-13
U00411,2026-05-20,2026-06-03,not_provided,business,False,
U00412,2026-01-16,2026-01-30,200+,business,False,
U00413,2026-02-18,2026-03-04,1-10,starter,False,
U00414,2026-01-24,2026-02-07,not_provided,pro,True,2026-02-07
U00415,2026-01-06,2026-01-20,1-10,business,True,2026-01-14
U00416,2026-02-02,2026-02-16,not_provided,pro,False,
U00417,2026-01-18,2026-02-01,not_provided,pro,False,
U00418,2026-05-31,2026-06-14,11-50,pro,False,
U00419,2026-03-26,2026-04-09,11-50,pro,True,2026-03-31
U00420,2026-03-12,2026-03-26,11-50,pro,True,2026-03-25
U00421,2026-03-06,2026-03-20,11-50,starter,False,
U00422,2026-01-07,2026-01-21,11-50,starter,False,
U00423,2026-04-02,2026-04-16,11-50,pro,False,
U00424,2026-03-24,2026-04-07,1-10,pro,True,2026-04-02
U00425,2026-01-14,2026-01-28,11-50,business,True,2026-01-25
U00426,2026-05-15,2026-05-29,1-10,business,False,
U00427,2026-01-17,2026-01-31,200+,starter,True,2026-01-27
U00428,2026-05-12,2026-05-26,not_provided,starter,False,
U00429,2026-04-26,2026-05-10,not_provided,pro,True,2026-05-10
U00430,2026-01-12,2026-01-26,not_provided,business,True,2026-01-25
U00431,2026-03-19,2026-04-02,200+,business,False,
U00432,2026-01-08,2026-01-22,1-10,starter,False,
U00433,2026-04-13,2026-04-27,200+,business,True,2026-04-19
U00434,2026-05-06,2026-05-20,not_provided,starter,False,
U00435,2026-01-19,2026-02-02,1-10,business,True,2026-02-02
U00436,2026-02-07,2026-02-21,1-10,pro,False,
U00437,2026-03-12,2026-03-26,not_provided,business,False,
U00438,2026-05-30,2026-06-13,not_provided,business,False,
U00439,2026-03-25,2026-04-08,200+,pro,False,
U00440,2026-05-16,2026-05-30,51-200,starter,True,2026-05-29
U00441,2026-06-04,2026-06-18,200+,starter,False,
U00442,2026-01-30,2026-02-13,not_provided,business,False,
U00443,2026-05-22,2026-06-05,not_provided,pro,True,2026-06-02
U00444,2026-04-26,2026-05-10,11-50,starter,False,
U00445,2026-03-28,2026-04-11,200+,starter,False,
U00446,2026-04-17,2026-05-01,not_provided,starter,False,
U00447,2026-03-22,2026-04-05,200+,business,False,
U00448,2026-03-07,2026-03-21,51-200,pro,False,
U00449,2026-05-02,2026-05-16,1-10,starter,True,2026-05-08
U00450,2026-01-24,2026-02-07,200+,starter,False,
U00451,2026-04-06,2026-04-20,11-50,pro,False,
U00452,2026-01-16,2026-01-30,not_provided,pro,True,2026-01-29
U00453,2026-03-26,2026-04-09,not_provided,starter,False,
U00454,2026-04-16,2026-04-30,51-200,business,True,2026-04-27
U00455,2026-01-14,2026-01-28,51-200,pro,True,2026-01-23
U00456,2026-04-01,2026-04-15,1-10,pro,False,
U00457,2026-05-10,2026-05-24,11-50,pro,False,
U00458,2026-05-04,2026-05-18,11-50,starter,False,
U00459,2026-03-31,2026-04-14,not_provided,business,True,2026-04-06
U00460,2026-03-13,2026-03-27,not_provided,pro,False,
U00461,2026-04-20,2026-05-04,not_provided,pro,True,2026-05-04
