user_id,signup_date,company_size,plan_interested,converted,user_segment,archetype,drop_off_stage,total_sessions,distinct_features_used,time_to_first_value_hrs,used_power_feature,engagement_slope,feature_adoption_breadth,conversion_propensity_score,active_days_verified,features_touched_verified
U00046,2026-01-30,not_provided,pro,0,Medium,Power Adopter,completed_trial_window,5,3,12.0,1,-10,0.3,73,5,3
U00047,2026-03-10,not_provided,business,0,High,Champion,completed_trial_window,14,7,20.0,1,11,0.7,99,11,7
U00048,2026-01-29,51-200,starter,0,High,Power Adopter,completed_trial_window,5,7,6.0,1,-6,0.7,85,5,7
U00049,2026-02-10,200+,starter,0,High,Champion,completed_trial_window,5,8,1.0,1,16,0.8,95,4,8
U00050,2026-03-09,not_provided,pro,0,High,Power Adopter,completed_trial_window,10,6,12.0,1,-13,0.6,98,7,6
U00051,2026-05-10,1-10,business,1,High,Champion,completed_trial_window,5,3,0.0,1,15,0.3,83,5,3
U00052,2026-06-13,not_provided,pro,0,High,Champion,completed_trial_window,8,4,23.0,1,14,0.4,94,7,4
U00053,2026-02-20,11-50,business,1,Low,Plateaued User,completed_trial_window,7,2,26.0,0,-4,0.2,48,5,2
U00054,2026-05-19,not_provided,starter,0,Low,Window Shopper,completed_trial_window,1,1,175.0,0,1,0.1,27,1,1
U00055,2026-06-03,51-200,starter,0,High,Champion,mid_trial_dropoff,5,5,11.0,1,7,0.5,92,3,5
U00056,2026-01-05,1-10,business,0,Medium,Champion,completed_trial_window,2,3,22.0,1,9,0.3,68,2,3
U00057,2026-03-20,11-50,starter,1,High,Late Bloomer,mid_trial_dropoff,5,5,37.0,1,1,0.5,82,3,5
U00058,2026-05-26,1-10,starter,1,High,Champion,completed_trial_window,10,5,2.0,1,26,0.5,99,6,5
U00059,2026-01-18,not_provided,pro,1,High,Champion,completed_trial_window,9,6,3.0,1,12,0.6,99,7,6
U00060,2026-05-02,not_provided,pro,0,Medium,Late Bloomer,mid_trial_dropoff,3,5,40.0,1,6,0.5,75,2,5
U00061,2026-03-09,not_provided,pro,1,Medium,Power Adopter,completed_trial_window,7,5,11.0,1,0,0.5,89,6,5
U00062,2026-02-24,not_provided,business,0,High,Growing Casual,completed_trial_window,9,4,0.0,0,24,0.4,83,7,4
U00063,2026-02-21,not_provided,business,0,High,Power Adopter,completed_trial_window,7,10,9.0,1,-7,1.0,92,7,10
U00064,2026-04-13,not_provided,business,0,Medium,Late Bloomer,completed_trial_window,3,4,35.0,1,12,0.4,71,2,4
U00065,2026-04-06,200+,pro,0,High,Champion,completed_trial_window,4,5,5.0,1,7,0.5,89,4,5
U00066,2026-04-26,1-10,pro,0,Medium,Growing Casual,completed_trial_window,6,3,56.0,0,1,0.3,54,4,3
U00067,2026-02-27,1-10,business,0,Medium,Plateaued User,completed_trial_window,5,2,135.0,1,-1,0.2,54,4,2
U00068,2026-01-06,not_provided,pro,1,Medium,Growing Casual,completed_trial_window,4,2,54.0,0,4,0.2,43,4,2
U00069,2026-05-31,11-50,starter,0,Low,Window Shopper,completed_trial_window,2,2,4.0,0,-2,0.2,41,2,2
U00070,2026-01-19,not_provided,business,1,High,Power Adopter,completed_trial_window,9,4,6.0,1,-4,0.4,91,7,4
U00071,2026-02-28,1-10,starter,1,High,Champion,completed_trial_window,4,6,18.0,1,6,0.6,87,4,6
U00072,2026-01-19,not_provided,pro,0,Medium,Late Bloomer,completed_trial_window,4,2,214.0,1,3,0.2,61,4,2
U00073,2026-03-13,not_provided,starter,0,High,Champion,completed_trial_window,4,7,15.0,1,19,0.7,87,4,7
U00074,2026-02-24,not_provided,pro,1,Medium,Power Adopter,completed_trial_window,4,5,11.0,1,0,0.5,79,4,5
U00075,2026-05-28,200+,pro,0,High,Champion,completed_trial_window,10,8,0.0,1,2,0.8,99,8,8
U00076,2026-05-02,200+,pro,0,Medium,Late Bloomer,mid_trial_dropoff,1,3,32.0,1,13,0.3,59,1,3
U00077,2026-01-25,1-10,business,1,Medium,Plateaued User,completed_trial_window,2,4,38.0,1,-6,0.4,58,2,4
U00078,2026-04-01,200+,starter,1,High,Power Adopter,completed_trial_window,11,6,8.0,1,-15,0.6,98,8,6
U00079,2026-01-14,not_provided,business,0,Medium,Plateaued User,completed_trial_window,6,4,72.0,0,-1,0.4,49,5,4
U00080,2026-06-15,1-10,starter,0,Low,Window Shopper,completed_trial_window,1,2,3.0,0,-4,0.2,37,1,2
U00081,2026-04-14,not_provided,business,0,Medium,Plateaued User,completed_trial_window,4,5,86.0,1,-4,0.5,64,4,5
U00082,2026-01-28,11-50,pro,1,High,Champion,completed_trial_window,8,8,1.0,1,15,0.8,99,4,8
U00083,2026-05-18,200+,pro,0,Medium,Plateaued User,completed_trial_window,6,4,25.0,0,-2,0.4,54,6,4
U00084,2026-04-19,11-50,business,1,High,Power Adopter,completed_trial_window,6,6,5.0,1,-27,0.6,89,5,6
U00085,2026-03-05,1-10,starter,0,Low,Growing Casual,completed_trial_window,3,1,180.0,0,8,0.1,34,3,1
U00086,2026-05-21,1-10,starter,0,High,Late Bloomer,completed_trial_window,4,3,96.0,1,2,0.3,65,3,3
U00087,2026-06-16,not_provided,starter,1,Medium,Power Adopter,early_dropoff,1,3,20.0,1,-23,0.3,54,1,3
U00088,2026-03-02,11-50,starter,1,Medium,Late Bloomer,completed_trial_window,7,1,32.0,1,10,0.1,71,5,1
U00089,2026-05-04,11-50,starter,1,High,Power Adopter,completed_trial_window,13,8,8.0,1,0,0.8,98,9,8
U00090,2026-02-12,200+,starter,0,High,Power Adopter,completed_trial_window,9,6,13.0,1,-14,0.6,93,7,6
U00091,2026-04-10,51-200,starter,0,High,Late Bloomer,completed_trial_window,9,7,47.0,1,6,0.7,98,8,7
U00092,2026-03-15,200+,business,0,High,Power Adopter,completed_trial_window,8,8,17.0,1,-11,0.8,91,6,8
U00093,2026-05-23,not_provided,business,0,Medium,Plateaued User,completed_trial_window,6,3,35.0,1,-2,0.3,67,5,3
U00094,2026-05-05,11-50,pro,0,Low,Plateaued User,completed_trial_window,5,2,5.0,0,-6,0.2,51,4,2
U00095,2026-03-17,11-50,starter,0,High,Late Bloomer,completed_trial_window,5,5,42.0,1,3,0.5,82,5,5
U00096,2026-05-29,not_provided,pro,0,High,Champion,completed_trial_window,14,8,10.0,1,11,0.8,99,10,8
U00097,2026-01-16,not_provided,business,1,Medium,Champion,mid_trial_dropoff,1,5,11.0,1,6,0.5,78,1,5
U00098,2026-01-13,not_provided,starter,0,Medium,Late Bloomer,mid_trial_dropoff,2,4,57.0,1,6,0.4,63,2,4
U00099,2026-05-09,not_provided,pro,1,High,Power Adopter,completed_trial_window,4,8,4.0,1,-36,0.8,82,4,8
U00100,2026-05-11,1-10,pro,1,High,Champion,completed_trial_window,6,3,13.0,1,4,0.3,82,5,3
U00101,2026-06-02,1-10,business,0,High,Power Adopter,completed_trial_window,12,6,2.0,1,-12,0.6,98,8,6
U00102,2026-03-02,200+,starter,0,High,Champion,completed_trial_window,12,8,12.0,1,11,0.8,99,10,8
U00103,2026-05-26,11-50,pro,0,Low,Plateaued User,completed_trial_window,3,3,62.0,0,-5,0.3,33,3,3
U00104,2026-06-02,1-10,pro,1,High,Power Adopter,completed_trial_window,16,8,3.0,1,0,0.8,98,9,8
U00105,2026-04-18,not_provided,pro,0,High,Champion,completed_trial_window,5,4,24.0,1,23,0.4,83,5,4
U00106,2026-05-25,not_provided,business,1,High,Power Adopter,completed_trial_window,7,7,6.0,1,0,0.7,92,6,7
U00107,2026-02-22,not_provided,business,1,High,Champion,completed_trial_window,6,5,22.0,1,21,0.5,91,5,5
U00108,2026-03-03,51-200,starter,0,Medium,Plateaued User,completed_trial_window,4,3,26.0,0,-5,0.3,42,3,3
U00109,2026-02-03,not_provided,business,1,High,Champion,completed_trial_window,10,4,16.0,1,12,0.4,96,9,4
U00110,2026-04-28,51-200,starter,1,High,Champion,completed_trial_window,7,5,2.0,1,1,0.5,99,6,5
U00111,2026-04-28,not_provided,pro,1,High,Champion,completed_trial_window,9,7,3.0,1,44,0.7,99,6,7
U00112,2026-01-19,not_provided,pro,0,High,Champion,completed_trial_window,8,7,18.0,1,15,0.7,99,7,7
U00113,2026-05-10,51-200,pro,1,High,Champion,completed_trial_window,4,6,3.0,1,21,0.6,92,4,6
U00114,2026-01-18,11-50,business,1,Medium,Plateaued User,completed_trial_window,6,5,80.0,1,-2,0.5,71,4,5
U00115,2026-02-10,200+,pro,1,High,Growing Casual,completed_trial_window,13,4,6.0,0,12,0.4,83,10,4
U00116,2026-06-06,not_provided,pro,1,High,Power Adopter,completed_trial_window,8,8,1.0,1,-18,0.8,96,6,8
U00117,2026-05-22,51-200,business,1,High,Champion,completed_trial_window,10,8,18.0,1,32,0.8,99,8,8
U00118,2026-02-04,51-200,starter,1,High,Late Bloomer,completed_trial_window,8,4,28.0,1,1,0.4,89,7,4
U00119,2026-05-22,11-50,business,1,Medium,Power Adopter,completed_trial_window,5,4,1.0,1,-4,0.4,78,5,4
U00120,2026-06-04,11-50,business,0,High,Growing Casual,completed_trial_window,11,5,14.0,0,13,0.5,82,8,5
U00121,2026-03-29,11-50,business,0,Medium,Plateaued User,completed_trial_window,8,2,60.0,1,-11,0.2,65,4,2
U00122,2026-06-12,51-200,pro,0,Low,Plateaued User,completed_trial_window,4,2,18.0,0,-3,0.2,43,3,2
U00123,2026-05-06,51-200,starter,0,High,Plateaued User,completed_trial_window,4,6,47.0,1,-4,0.6,72,4,6
U00124,2026-01-24,not_provided,starter,0,Medium,Power Adopter,completed_trial_window,7,5,0.0,1,-14,0.5,89,5,5
U00125,2026-03-12,1-10,starter,0,High,Power Adopter,completed_trial_window,7,8,0.0,1,-2,0.8,92,6,8
U00126,2026-03-27,11-50,business,0,High,Power Adopter,completed_trial_window,9,5,11.0,1,0,0.5,95,9,5
U00127,2026-03-09,11-50,business,0,High,Champion,completed_trial_window,7,5,17.0,1,2,0.5,94,6,5
U00128,2026-04-24,not_provided,business,1,Medium,Growing Casual,completed_trial_window,4,4,83.0,0,4,0.4,52,4,4
U00129,2026-05-24,1-10,starter,0,Medium,Plateaued User,completed_trial_window,8,2,32.0,1,-4,0.2,70,6,2
U00130,2026-01-20,not_provided,pro,0,High,Late Bloomer,completed_trial_window,8,6,43.0,1,14,0.6,96,7,6
U00131,2026-05-20,1-10,business,0,High,Champion,completed_trial_window,4,4,5.0,1,3,0.4,85,4,4
U00132,2026-05-30,not_provided,pro,0,High,Champion,mid_trial_dropoff,7,7,0.0,1,22,0.7,99,4,7
U00133,2026-04-21,11-50,starter,0,Low,Window Shopper,mid_trial_dropoff,1,2,206.0,0,10,0.2,32,1,2
U00134,2026-03-20,51-200,starter,0,High,Late Bloomer,completed_trial_window,4,7,94.0,1,24,0.7,77,3,7
U00135,2026-04-02,11-50,business,0,Medium,Plateaued User,completed_trial_window,3,4,92.0,1,-1,0.4,56,2,4
U00136,2026-03-05,not_provided,starter,1,Medium,Late Bloomer,completed_trial_window,3,4,78.0,1,17,0.4,66,3,4
U00137,2026-05-24,200+,pro,0,High,Growing Casual,completed_trial_window,9,3,54.0,0,2,0.3,63,7,3
U00138,2026-02-09,11-50,pro,1,Medium,Late Bloomer,completed_trial_window,3,4,56.0,1,3,0.4,66,3,4
U00139,2026-04-16,1-10,pro,0,Low,Window Shopper,completed_trial_window,2,2,2.0,0,4,0.2,51,2,2
U00140,2026-03-27,200+,business,0,High,Power Adopter,completed_trial_window,9,8,2.0,1,-20,0.8,98,8,8
U00141,2026-03-05,51-200,pro,0,Medium,Plateaued User,completed_trial_window,6,2,143.0,1,-1,0.2,58,5,2
U00142,2026-01-28,200+,starter,0,Medium,Plateaued User,completed_trial_window,7,3,25.0,1,-3,0.3,70,7,3
U00143,2026-05-01,11-50,pro,1,Medium,Champion,completed_trial_window,2,3,13.0,1,5,0.3,68,1,3
U00144,2026-03-31,51-200,pro,0,High,Champion,completed_trial_window,12,6,8.0,1,10,0.6,99,7,6
U00145,2026-02-27,1-10,business,0,High,Power Adopter,completed_trial_window,8,9,11.0,1,-20,0.9,96,6,9
U00146,2026-02-19,200+,business,1,Medium,Window Shopper,completed_trial_window,1,4,63.0,0,8,0.4,41,1,4
U00147,2026-01-18,51-200,business,0,High,Champion,completed_trial_window,9,3,7.0,1,5,0.3,96,6,3
U00148,2026-06-14,not_provided,starter,0,Medium,Power Adopter,completed_trial_window,3,3,18.0,1,0,0.3,61,3,3
U00149,2026-05-18,51-200,starter,0,Medium,Plateaued User,completed_trial_window,4,3,38.0,1,-9,0.3,60,4,3
U00150,2026-01-30,51-200,pro,1,Medium,Late Bloomer,completed_trial_window,3,1,135.0,1,21,0.1,52,3,1
U00151,2026-03-09,1-10,starter,0,Low,Window Shopper,completed_trial_window,1,1,1.0,0,-4,0.1,32,1,1
U00152,2026-06-02,200+,business,1,High,Late Bloomer,completed_trial_window,5,5,26.0,1,6,0.5,82,5,5
U00153,2026-04-22,not_provided,pro,0,High,Champion,completed_trial_window,10,5,13.0,1,18,0.5,99,8,5
U00154,2026-01-30,200+,pro,0,Medium,Plateaued User,completed_trial_window,2,5,25.0,1,-2,0.5,62,2,5
U00155,2026-02-18,51-200,starter,0,Medium,Power Adopter,mid_trial_dropoff,4,4,14.0,1,-7,0.4,70,4,4
U00156,2026-04-22,1-10,pro,1,High,Late Bloomer,completed_trial_window,14,7,28.0,1,18,0.7,98,8,7
U00157,2026-02-20,51-200,starter,1,Medium,Plateaued User,mid_trial_dropoff,2,4,27.0,1,-2,0.4,58,2,4
U00158,2026-03-26,not_provided,business,1,High,Power Adopter,completed_trial_window,8,5,2.0,1,-13,0.5,93,5,5
U00159,2026-03-18,not_provided,business,0,High,Late Bloomer,completed_trial_window,9,4,34.0,1,15,0.4,91,7,4
U00160,2026-04-15,51-200,starter,0,High,Champion,completed_trial_window,9,9,4.0,1,6,0.9,99,6,9
U00161,2026-03-17,not_provided,pro,0,High,Power Adopter,completed_trial_window,10,4,9.0,1,-3,0.4,91,9,4
U00162,2026-02-19,200+,business,1,Medium,Plateaued User,completed_trial_window,6,2,112.0,1,-1,0.2,58,6,2
U00163,2026-02-14,not_provided,pro,0,Medium,Window Shopper,mid_trial_dropoff,2,5,29.0,0,3,0.5,54,2,5
U00164,2026-03-19,200+,pro,1,High,Champion,completed_trial_window,8,5,7.0,1,7,0.5,99,7,5
U00165,2026-03-19,51-200,pro,1,High,Power Adopter,completed_trial_window,10,6,2.0,1,-3,0.6,98,6,6
U00166,2026-05-29,not_provided,business,0,Medium,Late Bloomer,completed_trial_window,3,3,60.0,1,4,0.3,61,2,3
U00167,2026-03-24,200+,starter,0,Medium,Power Adopter,completed_trial_window,6,5,11.0,1,-1,0.5,86,3,5
U00168,2026-04-24,not_provided,pro,0,High,Champion,completed_trial_window,5,4,4.0,1,6,0.4,88,4,4
U00169,2026-05-11,200+,business,1,High,Champion,completed_trial_window,8,4,5.0,1,2,0.4,99,7,4
U00170,2026-01-22,51-200,pro,1,High,Power Adopter,completed_trial_window,9,6,23.0,1,-1,0.6,93,8,6
U00171,2026-03-27,1-10,pro,1,High,Power Adopter,completed_trial_window,9,8,3.0,1,-4,0.8,98,7,8
U00172,2026-02-27,11-50,pro,0,Medium,Power Adopter,mid_trial_dropoff,1,5,5.0,1,0,0.5,68,1,5
U00173,2026-01-07,1-10,pro,1,High,Champion,completed_trial_window,7,4,4.0,1,6,0.4,95,7,4
U00174,2026-06-06,1-10,starter,1,Low,Plateaued User,completed_trial_window,7,1,87.0,0,0,0.1,38,5,1
U00175,2026-06-11,not_provided,pro,0,High,Champion,completed_trial_window,7,5,17.0,1,5,0.5,94,5,5
U00176,2026-04-09,200+,starter,1,High,Champion,completed_trial_window,11,5,16.0,1,9,0.5,99,7,5
U00177,2026-02-07,not_provided,business,1,High,Power Adopter,completed_trial_window,4,6,1.0,1,-22,0.6,82,4,6
U00178,2026-01-28,200+,pro,0,High,Champion,completed_trial_window,6,7,7.0,1,24,0.7,99,5,7
U00179,2026-02-15,not_provided,pro,0,High,Late Bloomer,completed_trial_window,4,5,63.0,1,36,0.5,74,4,5
U00180,2026-04-29,1-10,pro,1,High,Late Bloomer,completed_trial_window,8,7,27.0,1,23,0.7,96,6,7
U00181,2026-02-01,200+,pro,0,High,Champion,completed_trial_window,7,7,0.0,1,12,0.7,99,7,7
U00182,2026-04-29,not_provided,pro,0,High,Late Bloomer,completed_trial_window,5,3,57.0,1,12,0.3,68,4,3
U00183,2026-05-24,not_provided,business,1,High,Champion,completed_trial_window,4,5,21.0,1,9,0.5,84,4,5
U00184,2026-06-06,not_provided,pro,0,Medium,Power Adopter,completed_trial_window,3,3,8.0,1,-2,0.3,66,3,3
U00185,2026-04-20,not_provided,starter,1,High,Power Adopter,completed_trial_window,8,8,4.0,1,-5,0.8,96,5,8
U00186,2026-05-02,200+,business,0,Medium,Plateaued User,mid_trial_dropoff,6,4,84.0,1,-4,0.4,67,4,4
U00187,2026-03-05,not_provided,business,0,Medium,Power Adopter,completed_trial_window,6,2,22.0,1,-2,0.2,68,5,2
U00188,2026-05-14,200+,business,0,High,Champion,completed_trial_window,8,4,15.0,1,10,0.4,94,5,4
U00189,2026-03-03,51-200,starter,1,Low,Window Shopper,completed_trial_window,1,2,61.0,0,10,0.2,32,1,2
U00190,2026-03-15,11-50,business,1,Low,Window Shopper,completed_trial_window,1,2,160.0,0,8,0.2,32,1,2
U00191,2026-03-23,not_provided,starter,1,Medium,Growing Casual,completed_trial_window,4,5,47.0,0,4,0.5,61,3,5
U00192,2026-02-08,11-50,starter,0,Medium,Plateaued User,completed_trial_window,6,5,12.0,0,-20,0.5,68,6,5
U00193,2026-02-09,not_provided,pro,0,High,Power Adopter,mid_trial_dropoff,4,8,1.0,1,-4,0.8,82,4,8
U00194,2026-01-17,200+,starter,0,High,Power Adopter,completed_trial_window,7,6,20.0,1,-7,0.6,87,6,6
U00195,2026-03-26,not_provided,starter,1,High,Power Adopter,completed_trial_window,8,3,24.0,1,-2,0.3,79,8,3
U00196,2026-01-16,11-50,starter,0,High,Champion,completed_trial_window,7,7,1.0,1,16,0.7,99,6,7
U00197,2026-04-10,not_provided,business,0,Medium,Plateaued User,completed_trial_window,5,4,62.0,0,-5,0.4,45,3,4
U00198,2026-01-06,not_provided,starter,1,Medium,Power Adopter,completed_trial_window,2,5,8.0,1,-13,0.5,72,2,5
U00199,2026-01-02,51-200,business,1,High,Champion,completed_trial_window,14,6,9.0,1,10,0.6,99,10,6
U00200,2026-04-18,not_provided,business,0,Medium,Late Bloomer,early_dropoff,1,5,62.0,1,3,0.5,63,1,5
U00201,2026-05-20,not_provided,pro,0,High,Late Bloomer,completed_trial_window,4,3,35.0,1,2,0.3,70,4,3
U00202,2026-05-05,11-50,business,0,High,Champion,completed_trial_window,10,3,14.0,1,6,0.3,91,8,3
U00203,2026-04-22,200+,starter,0,High,Champion,completed_trial_window,4,6,22.0,1,13,0.6,87,3,6
U00204,2026-04-10,51-200,business,0,High,Champion,completed_trial_window,8,6,20.0,1,5,0.6,99,7,6
U00205,2026-04-14,not_provided,pro,0,Medium,Power Adopter,completed_trial_window,6,5,5.0,1,-7,0.5,86,6,5
U00206,2026-04-30,11-50,pro,1,High,Late Bloomer,completed_trial_window,9,5,47.0,1,4,0.5,95,6,5
U00207,2026-01-07,200+,pro,1,High,Champion,completed_trial_window,7,5,1.0,1,10,0.5,99,5,5
U00208,2026-01-07,1-10,business,0,Low,Growing Casual,completed_trial_window,3,1,274.0,0,3,0.1,34,3,1
U00209,2026-04-20,11-50,starter,0,Medium,Power Adopter,completed_trial_window,2,4,13.0,1,-6,0.4,63,2,4
U00210,2026-02-16,1-10,business,1,High,Champion,completed_trial_window,10,4,10.0,1,10,0.4,99,8,4
U00211,2026-03-25,11-50,starter,0,Medium,Late Bloomer,early_dropoff,2,5,59.0,1,16,0.5,67,1,5
U00212,2026-03-25,51-200,starter,1,Medium,Late Bloomer,completed_trial_window,2,4,36.0,1,1,0.4,68,2,4
U00213,2026-04-18,51-200,starter,0,Low,Plateaued User,completed_trial_window,5,1,96.0,0,-1,0.1,31,5,1
U00214,2026-05-01,1-10,business,0,High,Champion,completed_trial_window,11,3,17.0,1,7,0.3,91,10,3
U00215,2026-05-19,1-10,business,1,Medium,Plateaued User,completed_trial_window,7,3,25.0,1,-7,0.3,70,6,3
U00216,2026-06-16,1-10,business,0,Medium,Plateaued User,completed_trial_window,5,3,6.0,0,-6,0.3,55,5,3
U00217,2026-01-11,1-10,pro,0,High,Late Bloomer,completed_trial_window,4,5,28.0,1,2,0.5,79,4,5
U00218,2026-02-21,1-10,pro,0,High,Late Bloomer,completed_trial_window,4,5,109.0,1,15,0.5,74,4,5
U00219,2026-02-09,11-50,pro,0,High,Champion,completed_trial_window,4,6,7.0,1,7,0.6,92,4,6
U00220,2026-05-02,not_provided,starter,0,High,Late Bloomer,completed_trial_window,11,2,41.0,1,1,0.2,82,10,2
U00221,2026-05-25,11-50,starter,1,Medium,Power Adopter,completed_trial_window,7,5,8.0,1,-4,0.5,89,7,5
U00222,2026-04-05,11-50,pro,0,High,Champion,completed_trial_window,6,8,23.0,1,19,0.8,94,3,8
U00223,2026-06-05,not_provided,business,1,Medium,Champion,completed_trial_window,3,5,24.0,1,8,0.5,80,3,5
U00224,2026-02-11,51-200,starter,0,Medium,Growing Casual,completed_trial_window,5,1,76.0,0,4,0.1,41,4,1
U00225,2026-05-29,1-10,business,0,Low,Window Shopper,mid_trial_dropoff,1,1,261.0,0,1,0.1,27,1,1
U00226,2026-05-28,not_provided,starter,0,High,Power Adopter,completed_trial_window,11,7,16.0,1,-18,0.7,93,8,7
U00227,2026-04-12,not_provided,pro,0,High,Champion,completed_trial_window,9,5,2.0,1,7,0.5,99,9,5
U00228,2026-01-20,not_provided,business,1,Low,Growing Casual,early_dropoff,3,1,352.0,0,2,0.1,34,1,1
U00229,2026-01-27,not_provided,business,0,Medium,Plateaued User,completed_trial_window,4,4,25.0,1,-3,0.4,65,4,4
U00230,2026-06-03,1-10,pro,0,High,Champion,completed_trial_window,9,5,8.0,1,2,0.5,99,7,5
U00231,2026-01-11,51-200,pro,0,Medium,Late Bloomer,completed_trial_window,7,2,40.0,1,11,0.2,76,6,2
